--- Hasil Analisis Kinerja Solver ---

Konfigurasi      : 1.txt (10x10, 20 bom)
Solver Digunakan : Hybrid (Greedy + CSP)
Jumlah Percobaan : 1000

--- Ringkasan Statistik ---
Jumlah Keberhasilan: 437 (43.70%)
Jumlah Kegagalan   : 563
Rata-rata Waktu    : 0.80 ms (untuk percobaan yang berhasil)
Rata-rata Langkah  : 53.73 langkah (untuk percobaan yang berhasil)

--- Rincian Percobaan yang Berhasil ---
Percobaan #1: Waktu = 5 ms, Langkah = 53
Percobaan #2: Waktu = 6 ms, Langkah = 49
Percobaan #3: Waktu = 10 ms, Langkah = 64
Percobaan #4: Waktu = 9 ms, Langkah = 60
Percobaan #5: Waktu = 11 ms, Langkah = 61
Percobaan #6: Waktu = 1 ms, Langkah = 43
Percobaan #7: Waktu = 0 ms, Langkah = 49
Percobaan #8: Waktu = 1 ms, Langkah = 59
Percobaan #9: Waktu = 1 ms, Langkah = 50
Percobaan #10: Waktu = 1 ms, Langkah = 61
Percobaan #11: Waktu = 2 ms, Langkah = 59
Percobaan #12: Waktu = 2 ms, Langkah = 59
Percobaan #13: Waktu = 2 ms, Langkah = 49
Percobaan #14: Waktu = 1 ms, Langkah = 55
Percobaan #15: Waktu = 1 ms, Langkah = 70
Percobaan #16: Waktu = 0 ms, Langkah = 41
Percobaan #17: Waktu = 1 ms, Langkah = 51
Percobaan #18: Waktu = 2 ms, Langkah = 57
Percobaan #19: Waktu = 1 ms, Langkah = 41
Percobaan #20: Waktu = 2 ms, Langkah = 51
Percobaan #21: Waktu = 1 ms, Langkah = 58
Percobaan #22: Waktu = 1 ms, Langkah = 51
Percobaan #23: Waktu = 0 ms, Langkah = 64
Percobaan #24: Waktu = 2 ms, Langkah = 48
Percobaan #25: Waktu = 2 ms, Langkah = 60
Percobaan #26: Waktu = 1 ms, Langkah = 59
Percobaan #27: Waktu = 2 ms, Langkah = 43
Percobaan #28: Waktu = 12 ms, Langkah = 40
Percobaan #29: Waktu = 2 ms, Langkah = 39
Percobaan #30: Waktu = 1 ms, Langkah = 56
Percobaan #31: Waktu = 1 ms, Langkah = 46
Percobaan #32: Waktu = 1 ms, Langkah = 70
Percobaan #33: Waktu = 7 ms, Langkah = 54
Percobaan #34: Waktu = 1 ms, Langkah = 51
Percobaan #35: Waktu = 1 ms, Langkah = 49
Percobaan #36: Waktu = 0 ms, Langkah = 53
Percobaan #37: Waktu = 0 ms, Langkah = 50
Percobaan #38: Waktu = 0 ms, Langkah = 56
Percobaan #39: Waktu = 0 ms, Langkah = 34
Percobaan #40: Waktu = 2 ms, Langkah = 57
Percobaan #41: Waktu = 0 ms, Langkah = 54
Percobaan #42: Waktu = 0 ms, Langkah = 46
Percobaan #43: Waktu = 4 ms, Langkah = 48
Percobaan #44: Waktu = 1 ms, Langkah = 45
Percobaan #45: Waktu = 1 ms, Langkah = 60
Percobaan #46: Waktu = 0 ms, Langkah = 47
Percobaan #47: Waktu = 5 ms, Langkah = 57
Percobaan #48: Waktu = 1 ms, Langkah = 54
Percobaan #49: Waktu = 1 ms, Langkah = 40
Percobaan #50: Waktu = 0 ms, Langkah = 57
Percobaan #51: Waktu = 0 ms, Langkah = 49
Percobaan #52: Waktu = 0 ms, Langkah = 50
Percobaan #53: Waktu = 0 ms, Langkah = 57
Percobaan #54: Waktu = 2 ms, Langkah = 55
Percobaan #55: Waktu = 2 ms, Langkah = 62
Percobaan #56: Waktu = 0 ms, Langkah = 53
Percobaan #57: Waktu = 1 ms, Langkah = 60
Percobaan #58: Waktu = 0 ms, Langkah = 53
Percobaan #59: Waktu = 1 ms, Langkah = 57
Percobaan #60: Waktu = 0 ms, Langkah = 42
Percobaan #61: Waktu = 0 ms, Langkah = 44
Percobaan #62: Waktu = 0 ms, Langkah = 58
Percobaan #63: Waktu = 1 ms, Langkah = 49
Percobaan #64: Waktu = 1 ms, Langkah = 50
Percobaan #65: Waktu = 1 ms, Langkah = 42
Percobaan #66: Waktu = 9 ms, Langkah = 54
Percobaan #67: Waktu = 2 ms, Langkah = 58
Percobaan #68: Waktu = 1 ms, Langkah = 46
Percobaan #69: Waktu = 2 ms, Langkah = 63
Percobaan #70: Waktu = 2 ms, Langkah = 47
Percobaan #71: Waktu = 1 ms, Langkah = 51
Percobaan #72: Waktu = 0 ms, Langkah = 62
Percobaan #73: Waktu = 0 ms, Langkah = 51
Percobaan #74: Waktu = 0 ms, Langkah = 57
Percobaan #75: Waktu = 0 ms, Langkah = 62
Percobaan #76: Waktu = 1 ms, Langkah = 48
Percobaan #77: Waktu = 1 ms, Langkah = 47
Percobaan #78: Waktu = 0 ms, Langkah = 51
Percobaan #79: Waktu = 0 ms, Langkah = 60
Percobaan #80: Waktu = 0 ms, Langkah = 50
Percobaan #81: Waktu = 0 ms, Langkah = 50
Percobaan #82: Waktu = 1 ms, Langkah = 55
Percobaan #83: Waktu = 0 ms, Langkah = 59
Percobaan #84: Waktu = 1 ms, Langkah = 45
Percobaan #85: Waktu = 0 ms, Langkah = 44
Percobaan #86: Waktu = 1 ms, Langkah = 48
Percobaan #87: Waktu = 0 ms, Langkah = 50
Percobaan #88: Waktu = 0 ms, Langkah = 48
Percobaan #89: Waktu = 0 ms, Langkah = 48
Percobaan #90: Waktu = 2 ms, Langkah = 75
Percobaan #91: Waktu = 0 ms, Langkah = 45
Percobaan #92: Waktu = 0 ms, Langkah = 43
Percobaan #93: Waktu = 1 ms, Langkah = 53
Percobaan #94: Waktu = 1 ms, Langkah = 60
Percobaan #95: Waktu = 1 ms, Langkah = 61
Percobaan #96: Waktu = 0 ms, Langkah = 61
Percobaan #97: Waktu = 1 ms, Langkah = 63
Percobaan #98: Waktu = 1 ms, Langkah = 50
Percobaan #99: Waktu = 1 ms, Langkah = 56
Percobaan #100: Waktu = 0 ms, Langkah = 48
Percobaan #101: Waktu = 0 ms, Langkah = 48
Percobaan #102: Waktu = 4 ms, Langkah = 58
Percobaan #103: Waktu = 0 ms, Langkah = 46
Percobaan #104: Waktu = 0 ms, Langkah = 50
Percobaan #105: Waktu = 0 ms, Langkah = 49
Percobaan #106: Waktu = 1 ms, Langkah = 60
Percobaan #107: Waktu = 1 ms, Langkah = 60
Percobaan #108: Waktu = 0 ms, Langkah = 49
Percobaan #109: Waktu = 0 ms, Langkah = 48
Percobaan #110: Waktu = 1 ms, Langkah = 54
Percobaan #111: Waktu = 0 ms, Langkah = 57
Percobaan #112: Waktu = 0 ms, Langkah = 54
Percobaan #113: Waktu = 0 ms, Langkah = 54
Percobaan #114: Waktu = 0 ms, Langkah = 42
Percobaan #115: Waktu = 0 ms, Langkah = 50
Percobaan #116: Waktu = 0 ms, Langkah = 48
