--- Hasil Analisis Kinerja Solver ---

Konfigurasi      : 2.txt (20x20, 60 bom)
Solver Digunakan : Classic Greedy
Jumlah Percobaan : 1000

--- Ringkasan Statistik ---
Jumlah Keberhasilan: 550 (55.00%)
Jumlah Kegagalan   : 450
Rata-rata Waktu    : 5.50 ms (untuk percobaan yang berhasil)
Rata-rata Langkah  : 134.42 langkah (untuk percobaan yang berhasil)

--- Rincian Percobaan yang Berhasil ---
Percobaan #1: Waktu = 16 ms, Langkah = 123
Percobaan #2: Waktu = 16 ms, Langkah = 132
Percobaan #3: Waktu = 10 ms, Langkah = 140
Percobaan #4: Waktu = 9 ms, Langkah = 136
Percobaan #5: Waktu = 13 ms, Langkah = 139
Percobaan #6: Waktu = 11 ms, Langkah = 157
Percobaan #7: Waktu = 8 ms, Langkah = 148
Percobaan #8: Waktu = 17 ms, Langkah = 153
Percobaan #9: Waktu = 7 ms, Langkah = 128
Percobaan #10: Waktu = 8 ms, Langkah = 141
Percobaan #11: Waktu = 15 ms, Langkah = 143
Percobaan #12: Waktu = 7 ms, Langkah = 130
Percobaan #13: Waktu = 7 ms, Langkah = 145
Percobaan #14: Waktu = 10 ms, Langkah = 134
Percobaan #15: Waktu = 12 ms, Langkah = 128
Percobaan #16: Waktu = 6 ms, Langkah = 155
Percobaan #17: Waktu = 4 ms, Langkah = 121
Percobaan #18: Waktu = 6 ms, Langkah = 138
Percobaan #19: Waktu = 4 ms, Langkah = 115
Percobaan #20: Waktu = 11 ms, Langkah = 143
Percobaan #21: Waktu = 6 ms, Langkah = 140
Percobaan #22: Waktu = 6 ms, Langkah = 140
Percobaan #23: Waktu = 6 ms, Langkah = 142
Percobaan #24: Waktu = 6 ms, Langkah = 143
Percobaan #25: Waktu = 5 ms, Langkah = 125
Percobaan #26: Waktu = 6 ms, Langkah = 149
Percobaan #27: Waktu = 8 ms, Langkah = 159
Percobaan #28: Waktu = 5 ms, Langkah = 144
Percobaan #29: Waktu = 4 ms, Langkah = 131
Percobaan #30: Waktu = 7 ms, Langkah = 135
Percobaan #31: Waktu = 11 ms, Langkah = 133
Percobaan #32: Waktu = 4 ms, Langkah = 127
Percobaan #33: Waktu = 5 ms, Langkah = 140
Percobaan #34: Waktu = 5 ms, Langkah = 152
Percobaan #35: Waktu = 12 ms, Langkah = 140
Percobaan #36: Waktu = 6 ms, Langkah = 147
Percobaan #37: Waktu = 5 ms, Langkah = 141
Percobaan #38: Waktu = 4 ms, Langkah = 123
Percobaan #39: Waktu = 4 ms, Langkah = 133
Percobaan #40: Waktu = 10 ms, Langkah = 135
Percobaan #41: Waktu = 5 ms, Langkah = 122
Percobaan #42: Waktu = 4 ms, Langkah = 113
Percobaan #43: Waktu = 4 ms, Langkah = 127
Percobaan #44: Waktu = 4 ms, Langkah = 135
Percobaan #45: Waktu = 10 ms, Langkah = 135
Percobaan #46: Waktu = 5 ms, Langkah = 122
Percobaan #47: Waktu = 5 ms, Langkah = 129
Percobaan #48: Waktu = 4 ms, Langkah = 135
Percobaan #49: Waktu = 9 ms, Langkah = 114
Percobaan #50: Waktu = 7 ms, Langkah = 126
Percobaan #51: Waktu = 4 ms, Langkah = 132
Percobaan #52: Waktu = 4 ms, Langkah = 134
Percobaan #53: Waktu = 9 ms, Langkah = 123
Percobaan #54: Waktu = 11 ms, Langkah = 153
Percobaan #55: Waktu = 4 ms, Langkah = 131
Percobaan #56: Waktu = 4 ms, Langkah = 128
Percobaan #57: Waktu = 10 ms, Langkah = 128
Percobaan #58: Waktu = 7 ms, Langkah = 149
Percobaan #59: Waktu = 6 ms, Langkah = 137
Percobaan #60: Waktu = 4 ms, Langkah = 136
Percobaan #61: Waktu = 3 ms, Langkah = 128
Percobaan #62: Waktu = 5 ms, Langkah = 132
Percobaan #63: Waktu = 7 ms, Langkah = 163
Percobaan #64: Waktu = 3 ms, Langkah = 131
Percobaan #65: Waktu = 4 ms, Langkah = 139
Percobaan #66: Waktu = 5 ms, Langkah = 136
Percobaan #67: Waktu = 11 ms, Langkah = 144
Percobaan #68: Waktu = 3 ms, Langkah = 112
Percobaan #69: Waktu = 4 ms, Langkah = 134
Percobaan #70: Waktu = 4 ms, Langkah = 131
