--- Hasil Analisis Kinerja Solver ---

Konfigurasi      : 3.txt (30x30, 135 bom)
Solver Digunakan : Hybrid (Greedy + CSP)
Jumlah Percobaan : 1000

--- Ringkasan Statistik ---
Jumlah Keberhasilan: 602 (60.20%)
Jumlah Kegagalan   : 398
Rata-rata Waktu    : 23.66 ms (untuk percobaan yang berhasil)
Rata-rata Langkah  : 401.76 langkah (untuk percobaan yang berhasil)

--- Rincian Percobaan yang Berhasil ---
Percobaan #1: Waktu = 69 ms, Langkah = 402
Percobaan #2: Waktu = 33 ms, Langkah = 392
Percobaan #3: Waktu = 51 ms, Langkah = 377
Percobaan #4: Waktu = 52 ms, Langkah = 411
Percobaan #5: Waktu = 94 ms, Langkah = 430
Percobaan #6: Waktu = 33 ms, Langkah = 390
Percobaan #7: Waktu = 29 ms, Langkah = 402
Percobaan #8: Waktu = 24 ms, Langkah = 417
Percobaan #9: Waktu = 25 ms, Langkah = 404
Percobaan #10: Waktu = 30 ms, Langkah = 429
Percobaan #11: Waktu = 20 ms, Langkah = 347
Percobaan #12: Waktu = 24 ms, Langkah = 403
Percobaan #13: Waktu = 24 ms, Langkah = 383
Percobaan #14: Waktu = 33 ms, Langkah = 434
Percobaan #15: Waktu = 22 ms, Langkah = 365
Percobaan #16: Waktu = 30 ms, Langkah = 409
Percobaan #17: Waktu = 32 ms, Langkah = 411
Percobaan #18: Waktu = 30 ms, Langkah = 387
Percobaan #19: Waktu = 31 ms, Langkah = 379
Percobaan #20: Waktu = 21 ms, Langkah = 367
Percobaan #21: Waktu = 22 ms, Langkah = 387
Percobaan #22: Waktu = 23 ms, Langkah = 428
Percobaan #23: Waktu = 23 ms, Langkah = 421
Percobaan #24: Waktu = 22 ms, Langkah = 390
Percobaan #25: Waktu = 19 ms, Langkah = 370
Percobaan #26: Waktu = 25 ms, Langkah = 435
Percobaan #27: Waktu = 21 ms, Langkah = 395
Percobaan #28: Waktu = 20 ms, Langkah = 401
Percobaan #29: Waktu = 27 ms, Langkah = 443
Percobaan #30: Waktu = 23 ms, Langkah = 416
Percobaan #31: Waktu = 22 ms, Langkah = 411
Percobaan #32: Waktu = 25 ms, Langkah = 430
Percobaan #33: Waktu = 23 ms, Langkah = 423
Percobaan #34: Waktu = 21 ms, Langkah = 425
Percobaan #35: Waktu = 20 ms, Langkah = 363
Percobaan #36: Waktu = 22 ms, Langkah = 414
Percobaan #37: Waktu = 21 ms, Langkah = 426
Percobaan #38: Waktu = 22 ms, Langkah = 397
Percobaan #39: Waktu = 21 ms, Langkah = 388
Percobaan #40: Waktu = 22 ms, Langkah = 375
Percobaan #41: Waktu = 21 ms, Langkah = 394
Percobaan #42: Waktu = 21 ms, Langkah = 365
Percobaan #43: Waktu = 20 ms, Langkah = 368
Percobaan #44: Waktu = 19 ms, Langkah = 381
Percobaan #45: Waktu = 22 ms, Langkah = 404
Percobaan #46: Waktu = 22 ms, Langkah = 404
Percobaan #47: Waktu = 20 ms, Langkah = 379
Percobaan #48: Waktu = 22 ms, Langkah = 343
Percobaan #49: Waktu = 22 ms, Langkah = 408
Percobaan #50: Waktu = 23 ms, Langkah = 396
Percobaan #51: Waktu = 23 ms, Langkah = 426
Percobaan #52: Waktu = 24 ms, Langkah = 423
Percobaan #53: Waktu = 27 ms, Langkah = 422
Percobaan #54: Waktu = 24 ms, Langkah = 421
Percobaan #55: Waktu = 26 ms, Langkah = 384
Percobaan #56: Waktu = 21 ms, Langkah = 408
Percobaan #57: Waktu = 21 ms, Langkah = 402
Percobaan #58: Waktu = 26 ms, Langkah = 413
Percobaan #59: Waktu = 26 ms, Langkah = 395
Percobaan #60: Waktu = 24 ms, Langkah = 424
Percobaan #61: Waktu = 25 ms, Langkah = 440
Percobaan #62: Waktu = 23 ms, Langkah = 439
Percobaan #63: Waktu = 19 ms, Langkah = 371
Percobaan #64: Waktu = 24 ms, Langkah = 404
Percobaan #65: Waktu = 23 ms, Langkah = 410
Percobaan #66: Waktu = 21 ms, Langkah = 402
Percobaan #67: Waktu = 22 ms, Langkah = 393
Percobaan #68: Waktu = 23 ms, Langkah = 418
Percobaan #69: Waktu = 20 ms, Langkah = 380
Percobaan #70: Waktu = 22 ms, Langkah = 416
Percobaan #71: Waktu = 22 ms, Langkah = 414
Percobaan #72: Waktu = 21 ms, Langkah = 411
Percobaan #73: Waktu = 20 ms, Langkah = 387
Percobaan #74: Waktu = 22 ms, Langkah = 413
Percobaan #75: Waktu = 23 ms, Langkah = 412
Percobaan #76: Waktu = 20 ms, Langkah = 428
Percobaan #77: Waktu = 22 ms, Langkah = 409
Percobaan #78: Waktu = 22 ms, Langkah = 416
Percobaan #79: Waktu = 25 ms, Langkah = 423
Percobaan #80: Waktu = 20 ms, Langkah = 373
Percobaan #81: Waktu = 20 ms, Langkah = 378
Percobaan #82: Waktu = 22 ms, Langkah = 420
Percobaan #83: Waktu = 22 ms, Langkah = 425
Percobaan #84: Waktu = 23 ms, Langkah = 402
Percobaan #85: Waktu = 21 ms, Langkah = 391
Percobaan #86: Waktu = 21 ms, Langkah = 414
Percobaan #87: Waktu = 27 ms, Langkah = 397
Percobaan #88: Waktu = 24 ms, Langkah = 411
Percobaan #89: Waktu = 22 ms, Langkah = 430
Percobaan #90: Waktu = 20 ms, Langkah = 375
Percobaan #91: Waktu = 22 ms, Langkah = 390
Percobaan #92: Waktu = 20 ms, Langkah = 376
Percobaan #93: Waktu = 23 ms, Langkah = 409
Percobaan #94: Waktu = 22 ms, Langkah = 401
Percobaan #95: Waktu = 26 ms, Langkah = 451
Percobaan #96: Waktu = 22 ms, Langkah = 428
Percobaan #97: Waktu = 21 ms, Langkah = 393
Percobaan #98: Waktu = 22 ms, Langkah = 379
Percobaan #99: Waktu = 37 ms, Langkah = 373
Percobaan #100: Waktu = 22 ms, Langkah = 396
Percobaan #101: Waktu = 29 ms, Langkah = 445
Percobaan #102: Waktu = 33 ms, Langkah = 391
Percobaan #103: Waktu = 36 ms, Langkah = 424
Percobaan #104: Waktu = 37 ms, Langkah = 428
Percobaan #105: Waktu = 36 ms, Langkah = 408
Percobaan #106: Waktu = 34 ms, Langkah = 428
Percobaan #107: Waktu = 37 ms, Langkah = 448
Percobaan #108: Waktu = 34 ms, Langkah = 392
Percobaan #109: Waktu = 30 ms, Langkah = 415
Percobaan #110: Waktu = 28 ms, Langkah = 424
Percobaan #111: Waktu = 28 ms, Langkah = 421
Percobaan #112: Waktu = 27 ms, Langkah = 421
Percobaan #113: Waktu = 26 ms, Langkah = 396
Percobaan #114: Waktu = 24 ms, Langkah = 425
Percobaan #115: Waktu = 23 ms, Langkah = 364
Percobaan #116: Waktu = 25 ms, Langkah = 408
