--- Hasil Analisis Kinerja Solver ---

Konfigurasi      : 2.txt (20x20, 60 bom)
Solver Digunakan : Classic Greedy
Jumlah Percobaan : 1000

--- Ringkasan Statistik ---
Jumlah Keberhasilan: 563 (56.30%)
Jumlah Kegagalan   : 437
Rata-rata Waktu    : 4.70 ms (untuk percobaan yang berhasil)
Rata-rata Langkah  : 176.07 langkah (untuk percobaan yang berhasil)

--- Rincian Percobaan yang Berhasil ---
Percobaan #1: Waktu = 25 ms, Langkah = 154
Percobaan #2: Waktu = 14 ms, Langkah = 164
Percobaan #3: Waktu = 17 ms, Langkah = 156
Percobaan #4: Waktu = 7 ms, Langkah = 164
Percobaan #5: Waktu = 5 ms, Langkah = 166
Percobaan #6: Waktu = 11 ms, Langkah = 179
Percobaan #7: Waktu = 5 ms, Langkah = 194
Percobaan #8: Waktu = 5 ms, Langkah = 155
Percobaan #9: Waktu = 7 ms, Langkah = 179
Percobaan #10: Waktu = 7 ms, Langkah = 167
Percobaan #11: Waktu = 15 ms, Langkah = 179
Percobaan #12: Waktu = 5 ms, Langkah = 170
Percobaan #13: Waktu = 6 ms, Langkah = 174
Percobaan #14: Waktu = 5 ms, Langkah = 194
Percobaan #15: Waktu = 5 ms, Langkah = 182
Percobaan #16: Waktu = 8 ms, Langkah = 190
Percobaan #17: Waktu = 6 ms, Langkah = 180
Percobaan #18: Waktu = 6 ms, Langkah = 198
Percobaan #19: Waktu = 6 ms, Langkah = 179
Percobaan #20: Waktu = 6 ms, Langkah = 195
Percobaan #21: Waktu = 7 ms, Langkah = 170
Percobaan #22: Waktu = 5 ms, Langkah = 195
Percobaan #23: Waktu = 9 ms, Langkah = 185
Percobaan #24: Waktu = 20 ms, Langkah = 193
Percobaan #25: Waktu = 5 ms, Langkah = 180
Percobaan #26: Waktu = 4 ms, Langkah = 154
Percobaan #27: Waktu = 4 ms, Langkah = 168
Percobaan #28: Waktu = 5 ms, Langkah = 179
Percobaan #29: Waktu = 7 ms, Langkah = 175
Percobaan #30: Waktu = 4 ms, Langkah = 164
Percobaan #31: Waktu = 4 ms, Langkah = 177
Percobaan #32: Waktu = 5 ms, Langkah = 162
Percobaan #33: Waktu = 4 ms, Langkah = 151
Percobaan #34: Waktu = 5 ms, Langkah = 183
Percobaan #35: Waktu = 4 ms, Langkah = 170
Percobaan #36: Waktu = 4 ms, Langkah = 164
Percobaan #37: Waktu = 4 ms, Langkah = 166
Percobaan #38: Waktu = 7 ms, Langkah = 176
Percobaan #39: Waktu = 8 ms, Langkah = 187
Percobaan #40: Waktu = 5 ms, Langkah = 155
Percobaan #41: Waktu = 6 ms, Langkah = 171
Percobaan #42: Waktu = 8 ms, Langkah = 155
Percobaan #43: Waktu = 6 ms, Langkah = 170
Percobaan #44: Waktu = 7 ms, Langkah = 180
Percobaan #45: Waktu = 6 ms, Langkah = 151
Percobaan #46: Waktu = 4 ms, Langkah = 167
Percobaan #47: Waktu = 4 ms, Langkah = 161
Percobaan #48: Waktu = 5 ms, Langkah = 185
Percobaan #49: Waktu = 4 ms, Langkah = 159
Percobaan #50: Waktu = 5 ms, Langkah = 157
Percobaan #51: Waktu = 5 ms, Langkah = 198
Percobaan #52: Waktu = 7 ms, Langkah = 171
Percobaan #53: Waktu = 4 ms, Langkah = 164
Percobaan #54: Waktu = 5 ms, Langkah = 204
Percobaan #55: Waktu = 4 ms, Langkah = 161
Percobaan #56: Waktu = 5 ms, Langkah = 186
Percobaan #57: Waktu = 6 ms, Langkah = 204
Percobaan #58: Waktu = 4 ms, Langkah = 196
Percobaan #59: Waktu = 3 ms, Langkah = 165
Percobaan #60: Waktu = 4 ms, Langkah = 185
Percobaan #61: Waktu = 5 ms, Langkah = 199
Percobaan #62: Waktu = 5 ms, Langkah = 196
Percobaan #63: Waktu = 4 ms, Langkah = 173
Percobaan #64: Waktu = 3 ms, Langkah = 163
Percobaan #65: Waktu = 3 ms, Langkah = 147
Percobaan #66: Waktu = 6 ms, Langkah = 184
Percobaan #67: Waktu = 5 ms, Langkah = 200
Percobaan #68: Waktu = 6 ms, Langkah = 213
Percobaan #69: Waktu = 4 ms, Langkah = 191
Percobaan #70: Waktu = 4 ms, Langkah = 157
