--- Hasil Analisis Kinerja Solver ---

Konfigurasi      : 3.txt (30x30, 135 bom)
Solver Digunakan : Classic Greedy
Jumlah Percobaan : 1000

--- Ringkasan Statistik ---
Jumlah Keberhasilan: 490 (49.00%)
Jumlah Kegagalan   : 510
Rata-rata Waktu    : 22.60 ms (untuk percobaan yang berhasil)
Rata-rata Langkah  : 401.51 langkah (untuk percobaan yang berhasil)

--- Rincian Percobaan yang Berhasil ---
Percobaan #111: Waktu = 22 ms, Langkah = 413
Percobaan #112: Waktu = 22 ms, Langkah = 403
Percobaan #113: Waktu = 24 ms, Langkah = 436
Percobaan #114: Waktu = 24 ms, Langkah = 437
Percobaan #115: Waktu = 22 ms, Langkah = 385
Percobaan #116: Waktu = 19 ms, Langkah = 352
Percobaan #117: Waktu = 23 ms, Langkah = 433
Percobaan #118: Waktu = 21 ms, Langkah = 406
Percobaan #119: Waktu = 20 ms, Langkah = 402
Percobaan #120: Waktu = 20 ms, Langkah = 412
Percobaan #121: Waktu = 21 ms, Langkah = 394
Percobaan #122: Waktu = 20 ms, Langkah = 396
Percobaan #123: Waktu = 23 ms, Langkah = 418
Percobaan #124: Waktu = 19 ms, Langkah = 416
Percobaan #125: Waktu = 21 ms, Langkah = 403
Percobaan #126: Waktu = 21 ms, Langkah = 407
Percobaan #127: Waktu = 29 ms, Langkah = 424
Percobaan #128: Waktu = 20 ms, Langkah = 410
Percobaan #129: Waktu = 21 ms, Langkah = 398
Percobaan #130: Waktu = 22 ms, Langkah = 379
Percobaan #131: Waktu = 18 ms, Langkah = 390
Percobaan #132: Waktu = 20 ms, Langkah = 375
Percobaan #133: Waktu = 24 ms, Langkah = 417
Percobaan #134: Waktu = 20 ms, Langkah = 399
Percobaan #135: Waktu = 21 ms, Langkah = 399
Percobaan #136: Waktu = 23 ms, Langkah = 421
Percobaan #137: Waktu = 19 ms, Langkah = 383
Percobaan #138: Waktu = 18 ms, Langkah = 347
Percobaan #139: Waktu = 17 ms, Langkah = 357
Percobaan #140: Waktu = 21 ms, Langkah = 370
Percobaan #141: Waktu = 24 ms, Langkah = 462
Percobaan #142: Waktu = 17 ms, Langkah = 366
Percobaan #143: Waktu = 22 ms, Langkah = 413
Percobaan #144: Waktu = 21 ms, Langkah = 394
Percobaan #145: Waktu = 22 ms, Langkah = 423
Percobaan #146: Waktu = 22 ms, Langkah = 398
Percobaan #147: Waktu = 22 ms, Langkah = 446
Percobaan #148: Waktu = 19 ms, Langkah = 396
Percobaan #149: Waktu = 20 ms, Langkah = 408
Percobaan #150: Waktu = 20 ms, Langkah = 409
Percobaan #151: Waktu = 19 ms, Langkah = 387
Percobaan #152: Waktu = 23 ms, Langkah = 445
Percobaan #153: Waktu = 18 ms, Langkah = 374
Percobaan #154: Waktu = 21 ms, Langkah = 399
Percobaan #155: Waktu = 19 ms, Langkah = 387
Percobaan #156: Waktu = 21 ms, Langkah = 394
Percobaan #157: Waktu = 20 ms, Langkah = 423
Percobaan #158: Waktu = 25 ms, Langkah = 390
Percobaan #159: Waktu = 24 ms, Langkah = 379
Percobaan #160: Waktu = 23 ms, Langkah = 397
Percobaan #161: Waktu = 32 ms, Langkah = 406
Percobaan #162: Waktu = 19 ms, Langkah = 391
Percobaan #163: Waktu = 23 ms, Langkah = 394
Percobaan #164: Waktu = 18 ms, Langkah = 385
Percobaan #165: Waktu = 25 ms, Langkah = 452
Percobaan #166: Waktu = 28 ms, Langkah = 391
Percobaan #167: Waktu = 18 ms, Langkah = 389
Percobaan #168: Waktu = 19 ms, Langkah = 389
Percobaan #169: Waktu = 22 ms, Langkah = 412
Percobaan #170: Waktu = 22 ms, Langkah = 396
Percobaan #171: Waktu = 29 ms, Langkah = 419
Percobaan #172: Waktu = 23 ms, Langkah = 418
Percobaan #173: Waktu = 22 ms, Langkah = 419
Percobaan #174: Waktu = 24 ms, Langkah = 395
Percobaan #175: Waktu = 26 ms, Langkah = 425
Percobaan #176: Waktu = 24 ms, Langkah = 400
Percobaan #177: Waktu = 25 ms, Langkah = 393
Percobaan #178: Waktu = 26 ms, Langkah = 439
