--- Hasil Analisis Kinerja Solver ---

Konfigurasi      : 2.txt (20x20, 60 bom)
Solver Digunakan : Hybrid (Greedy + CSP)
Jumlah Percobaan : 1000

--- Ringkasan Statistik ---
Jumlah Keberhasilan: 758 (75.80%)
Jumlah Kegagalan   : 242
Rata-rata Waktu    : 7.63 ms (untuk percobaan yang berhasil)
Rata-rata Langkah  : 176.85 langkah (untuk percobaan yang berhasil)

--- Rincian Percobaan yang Berhasil ---
Percobaan #1: Waktu = 129 ms, Langkah = 156
Percobaan #2: Waktu = 38 ms, Langkah = 184
Percobaan #3: Waktu = 17 ms, Langkah = 170
Percobaan #4: Waktu = 29 ms, Langkah = 167
Percobaan #5: Waktu = 20 ms, Langkah = 170
Percobaan #6: Waktu = 13 ms, Langkah = 197
Percobaan #7: Waktu = 7 ms, Langkah = 165
Percobaan #8: Waktu = 9 ms, Langkah = 197
Percobaan #9: Waktu = 10 ms, Langkah = 165
Percobaan #10: Waktu = 10 ms, Langkah = 185
Percobaan #11: Waktu = 8 ms, Langkah = 168
Percobaan #12: Waktu = 7 ms, Langkah = 169
Percobaan #13: Waktu = 15 ms, Langkah = 172
Percobaan #14: Waktu = 8 ms, Langkah = 169
Percobaan #15: Waktu = 7 ms, Langkah = 156
Percobaan #16: Waktu = 8 ms, Langkah = 189
Percobaan #17: Waktu = 8 ms, Langkah = 188
Percobaan #18: Waktu = 10 ms, Langkah = 196
Percobaan #19: Waktu = 12 ms, Langkah = 179
Percobaan #20: Waktu = 8 ms, Langkah = 190
Percobaan #21: Waktu = 6 ms, Langkah = 163
Percobaan #22: Waktu = 11 ms, Langkah = 171
Percobaan #23: Waktu = 6 ms, Langkah = 155
Percobaan #24: Waktu = 6 ms, Langkah = 151
Percobaan #25: Waktu = 8 ms, Langkah = 178
Percobaan #26: Waktu = 18 ms, Langkah = 173
Percobaan #27: Waktu = 21 ms, Langkah = 206
Percobaan #28: Waktu = 7 ms, Langkah = 154
Percobaan #29: Waktu = 8 ms, Langkah = 151
Percobaan #30: Waktu = 11 ms, Langkah = 182
Percobaan #31: Waktu = 7 ms, Langkah = 172
Percobaan #32: Waktu = 6 ms, Langkah = 161
Percobaan #33: Waktu = 7 ms, Langkah = 179
Percobaan #34: Waktu = 8 ms, Langkah = 155
Percobaan #35: Waktu = 7 ms, Langkah = 185
Percobaan #36: Waktu = 6 ms, Langkah = 181
Percobaan #37: Waktu = 7 ms, Langkah = 175
Percobaan #38: Waktu = 9 ms, Langkah = 166
Percobaan #39: Waktu = 5 ms, Langkah = 135
Percobaan #40: Waktu = 8 ms, Langkah = 185
Percobaan #41: Waktu = 6 ms, Langkah = 172
Percobaan #42: Waktu = 9 ms, Langkah = 187
Percobaan #43: Waktu = 7 ms, Langkah = 178
Percobaan #44: Waktu = 7 ms, Langkah = 177
Percobaan #45: Waktu = 14 ms, Langkah = 154
Percobaan #46: Waktu = 8 ms, Langkah = 177
Percobaan #47: Waktu = 8 ms, Langkah = 182
Percobaan #48: Waktu = 7 ms, Langkah = 183
Percobaan #49: Waktu = 6 ms, Langkah = 150
Percobaan #50: Waktu = 8 ms, Langkah = 162
Percobaan #51: Waktu = 9 ms, Langkah = 167
Percobaan #52: Waktu = 6 ms, Langkah = 182
Percobaan #53: Waktu = 8 ms, Langkah = 190
Percobaan #54: Waktu = 7 ms, Langkah = 159
Percobaan #55: Waktu = 8 ms, Langkah = 184
Percobaan #56: Waktu = 7 ms, Langkah = 184
Percobaan #57: Waktu = 6 ms, Langkah = 175
Percobaan #58: Waktu = 9 ms, Langkah = 167
Percobaan #59: Waktu = 8 ms, Langkah = 183
Percobaan #60: Waktu = 7 ms, Langkah = 173
Percobaan #61: Waktu = 10 ms, Langkah = 167
Percobaan #62: Waktu = 11 ms, Langkah = 185
Percobaan #63: Waktu = 9 ms, Langkah = 158
Percobaan #64: Waktu = 9 ms, Langkah = 202
Percobaan #65: Waktu = 7 ms, Langkah = 171
Percobaan #66: Waktu = 10 ms, Langkah = 192
Percobaan #67: Waktu = 6 ms, Langkah = 164
Percobaan #68: Waktu = 9 ms, Langkah = 181
Percobaan #69: Waktu = 8 ms, Langkah = 203
Percobaan #70: Waktu = 8 ms, Langkah = 156
Percobaan #71: Waktu = 6 ms, Langkah = 192
Percobaan #72: Waktu = 6 ms, Langkah = 170
Percobaan #73: Waktu = 9 ms, Langkah = 176
Percobaan #74: Waktu = 7 ms, Langkah = 189
Percobaan #75: Waktu = 7 ms, Langkah = 175
Percobaan #76: Waktu = 6 ms, Langkah = 174
Percobaan #77: Waktu = 8 ms, Langkah = 168
Percobaan #78: Waktu = 6 ms, Langkah = 147
Percobaan #79: Waktu = 6 ms, Langkah = 165
Percobaan #80: Waktu = 5 ms, Langkah = 166
Percobaan #81: Waktu = 8 ms, Langkah = 191
Percobaan #82: Waktu = 6 ms, Langkah = 173
Percobaan #83: Waktu = 6 ms, Langkah = 176
Percobaan #84: Waktu = 8 ms, Langkah = 173
Percobaan #85: Waktu = 6 ms, Langkah = 167
Percobaan #86: Waktu = 5 ms, Langkah = 176
Percobaan #87: Waktu = 6 ms, Langkah = 190
Percobaan #88: Waktu = 8 ms, Langkah = 173
Percobaan #89: Waktu = 7 ms, Langkah = 203
Percobaan #90: Waktu = 6 ms, Langkah = 163
Percobaan #91: Waktu = 6 ms, Langkah = 165
Percobaan #92: Waktu = 8 ms, Langkah = 176
Percobaan #93: Waktu = 6 ms, Langkah = 139
Percobaan #94: Waktu = 8 ms, Langkah = 199
Percobaan #95: Waktu = 6 ms, Langkah = 169
Percobaan #96: Waktu = 5 ms, Langkah = 183
Percobaan #97: Waktu = 8 ms, Langkah = 182
Percobaan #98: Waktu = 9 ms, Langkah = 186
Percobaan #99: Waktu = 7 ms, Langkah = 186
Percobaan #100: Waktu = 9 ms, Langkah = 214
Percobaan #101: Waktu = 8 ms, Langkah = 204
Percobaan #102: Waktu = 7 ms, Langkah = 190
Percobaan #103: Waktu = 8 ms, Langkah = 190
Percobaan #104: Waktu = 6 ms, Langkah = 198
Percobaan #105: Waktu = 11 ms, Langkah = 192
Percobaan #106: Waktu = 10 ms, Langkah = 166
Percobaan #107: Waktu = 8 ms, Langkah = 164
Percobaan #108: Waktu = 7 ms, Langkah = 198
Percobaan #109: Waktu = 6 ms, Langkah = 166
Percobaan #110: Waktu = 6 ms, Langkah = 161
Percobaan #111: Waktu = 8 ms, Langkah = 229
Percobaan #112: Waktu = 9 ms, Langkah = 185
Percobaan #113: Waktu = 6 ms, Langkah = 188
Percobaan #114: Waktu = 6 ms, Langkah = 176
Percobaan #115: Waktu = 6 ms, Langkah = 164
Percobaan #116: Waktu = 8 ms, Langkah = 176
