--- Hasil Analisis Kinerja Solver ---

Konfigurasi      : 2.txt (20x20, 60 bom)
Solver Digunakan : Hybrid (Greedy + CSP)
Jumlah Percobaan : 1000

--- Ringkasan Statistik ---
Jumlah Keberhasilan: 677 (67.70%)
Jumlah Kegagalan   : 323
Rata-rata Waktu    : 5.45 ms (untuk percobaan yang berhasil)
Rata-rata Langkah  : 177.00 langkah (untuk percobaan yang berhasil)

--- Rincian Percobaan yang Berhasil ---
Percobaan #110: Waktu = 4 ms, Langkah = 150
Percobaan #111: Waktu = 4 ms, Langkah = 166
Percobaan #112: Waktu = 5 ms, Langkah = 211
Percobaan #113: Waktu = 6 ms, Langkah = 192
Percobaan #114: Waktu = 5 ms, Langkah = 192
Percobaan #115: Waktu = 5 ms, Langkah = 166
Percobaan #116: Waktu = 4 ms, Langkah = 159
Percobaan #117: Waktu = 6 ms, Langkah = 171
Percobaan #118: Waktu = 5 ms, Langkah = 200
Percobaan #119: Waktu = 4 ms, Langkah = 179
Percobaan #120: Waktu = 5 ms, Langkah = 175
Percobaan #121: Waktu = 3 ms, Langkah = 161
Percobaan #122: Waktu = 5 ms, Langkah = 163
Percobaan #123: Waktu = 4 ms, Langkah = 199
Percobaan #124: Waktu = 6 ms, Langkah = 161
Percobaan #125: Waktu = 6 ms, Langkah = 186
Percobaan #126: Waktu = 4 ms, Langkah = 172
Percobaan #127: Waktu = 5 ms, Langkah = 180
Percobaan #128: Waktu = 4 ms, Langkah = 181
Percobaan #129: Waktu = 4 ms, Langkah = 166
Percobaan #130: Waktu = 5 ms, Langkah = 180
Percobaan #131: Waktu = 5 ms, Langkah = 185
Percobaan #132: Waktu = 4 ms, Langkah = 186
Percobaan #133: Waktu = 4 ms, Langkah = 167
Percobaan #134: Waktu = 4 ms, Langkah = 162
Percobaan #135: Waktu = 6 ms, Langkah = 162
Percobaan #136: Waktu = 3 ms, Langkah = 145
Percobaan #137: Waktu = 4 ms, Langkah = 174
Percobaan #138: Waktu = 4 ms, Langkah = 159
Percobaan #139: Waktu = 4 ms, Langkah = 125
Percobaan #140: Waktu = 4 ms, Langkah = 166
Percobaan #141: Waktu = 6 ms, Langkah = 186
Percobaan #142: Waktu = 4 ms, Langkah = 177
Percobaan #143: Waktu = 4 ms, Langkah = 166
Percobaan #144: Waktu = 3 ms, Langkah = 141
Percobaan #145: Waktu = 5 ms, Langkah = 182
Percobaan #146: Waktu = 5 ms, Langkah = 169
Percobaan #147: Waktu = 5 ms, Langkah = 208
Percobaan #148: Waktu = 4 ms, Langkah = 162
Percobaan #149: Waktu = 5 ms, Langkah = 180
Percobaan #150: Waktu = 7 ms, Langkah = 196
Percobaan #151: Waktu = 4 ms, Langkah = 160
Percobaan #152: Waktu = 4 ms, Langkah = 184
Percobaan #153: Waktu = 5 ms, Langkah = 177
Percobaan #154: Waktu = 6 ms, Langkah = 184
Percobaan #155: Waktu = 5 ms, Langkah = 187
Percobaan #156: Waktu = 6 ms, Langkah = 173
Percobaan #157: Waktu = 10 ms, Langkah = 196
Percobaan #158: Waktu = 9 ms, Langkah = 156
Percobaan #159: Waktu = 9 ms, Langkah = 171
Percobaan #160: Waktu = 11 ms, Langkah = 185
Percobaan #161: Waktu = 8 ms, Langkah = 193
Percobaan #162: Waktu = 7 ms, Langkah = 181
Percobaan #163: Waktu = 8 ms, Langkah = 175
Percobaan #164: Waktu = 7 ms, Langkah = 169
Percobaan #165: Waktu = 7 ms, Langkah = 189
Percobaan #166: Waktu = 7 ms, Langkah = 187
Percobaan #167: Waktu = 7 ms, Langkah = 170
Percobaan #168: Waktu = 6 ms, Langkah = 163
Percobaan #169: Waktu = 6 ms, Langkah = 189
Percobaan #170: Waktu = 9 ms, Langkah = 186
Percobaan #171: Waktu = 6 ms, Langkah = 184
Percobaan #172: Waktu = 6 ms, Langkah = 165
Percobaan #173: Waktu = 7 ms, Langkah = 201
Percobaan #174: Waktu = 6 ms, Langkah = 181
Percobaan #175: Waktu = 6 ms, Langkah = 164
Percobaan #176: Waktu = 5 ms, Langkah = 176
Percobaan #177: Waktu = 7 ms, Langkah = 160
Percobaan #178: Waktu = 6 ms, Langkah = 190
Percobaan #179: Waktu = 6 ms, Langkah = 186
Percobaan #180: Waktu = 5 ms, Langkah = 171
Percobaan #181: Waktu = 7 ms, Langkah = 201
Percobaan #182: Waktu = 4 ms, Langkah = 145
Percobaan #183: Waktu = 4 ms, Langkah = 148
Percobaan #184: Waktu = 5 ms, Langkah = 173
Percobaan #185: Waktu = 5 ms, Langkah = 182
Percobaan #186: Waktu = 4 ms, Langkah = 164
Percobaan #187: Waktu = 5 ms, Langkah = 162
Percobaan #188: Waktu = 6 ms, Langkah = 191
Percobaan #189: Waktu = 6 ms, Langkah = 209
Percobaan #190: Waktu = 5 ms, Langkah = 172
Percobaan #191: Waktu = 6 ms, Langkah = 203
Percobaan #192: Waktu = 5 ms, Langkah = 188
Percobaan #193: Waktu = 7 ms, Langkah = 207
Percobaan #194: Waktu = 6 ms, Langkah = 184
Percobaan #195: Waktu = 5 ms, Langkah = 174
Percobaan #196: Waktu = 5 ms, Langkah = 161
Percobaan #197: Waktu = 6 ms, Langkah = 178
Percobaan #198: Waktu = 6 ms, Langkah = 197
Percobaan #199: Waktu = 5 ms, Langkah = 170
Percobaan #200: Waktu = 5 ms, Langkah = 160
Percobaan #201: Waktu = 6 ms, Langkah = 178
Percobaan #202: Waktu = 5 ms, Langkah = 180
Percobaan #203: Waktu = 6 ms, Langkah = 212
Percobaan #204: Waktu = 5 ms, Langkah = 172
Percobaan #205: Waktu = 5 ms, Langkah = 178
Percobaan #206: Waktu = 4 ms, Langkah = 180
Percobaan #207: Waktu = 5 ms, Langkah = 182
Percobaan #208: Waktu = 5 ms, Langkah = 169
Percobaan #209: Waktu = 6 ms, Langkah = 181
Percobaan #210: Waktu = 4 ms, Langkah = 158
Percobaan #211: Waktu = 5 ms, Langkah = 182
Percobaan #212: Waktu = 5 ms, Langkah = 180
Percobaan #213: Waktu = 4 ms, Langkah = 153
Percobaan #214: Waktu = 4 ms, Langkah = 144
Percobaan #215: Waktu = 4 ms, Langkah = 169
Percobaan #216: Waktu = 6 ms, Langkah = 157
Percobaan #217: Waktu = 5 ms, Langkah = 197
Percobaan #218: Waktu = 5 ms, Langkah = 183
Percobaan #219: Waktu = 5 ms, Langkah = 190
Percobaan #220: Waktu = 4 ms, Langkah = 165
Percobaan #221: Waktu = 6 ms, Langkah = 173
Percobaan #222: Waktu = 5 ms, Langkah = 186
Percobaan #223: Waktu = 4 ms, Langkah = 179
Percobaan #224: Waktu = 4 ms, Langkah = 167
Percobaan #225: Waktu = 4 ms, Langkah = 161
Percobaan #226: Waktu = 5 ms, Langkah = 186
Percobaan #227: Waktu = 5 ms, Langkah = 191
Percobaan #228: Waktu = 6 ms, Langkah = 198
Percobaan #229: Waktu = 5 ms, Langkah = 171
Percobaan #230: Waktu = 5 ms, Langkah = 173
Percobaan #231: Waktu = 5 ms, Langkah = 203
Percobaan #232: Waktu = 5 ms, Langkah = 174
Percobaan #233: Waktu = 5 ms, Langkah = 182
Percobaan #234: Waktu = 5 ms, Langkah = 208
Percobaan #235: Waktu = 5 ms, Langkah = 193
Percobaan #236: Waktu = 5 ms, Langkah = 193
Percobaan #237: Waktu = 6 ms, Langkah = 197
Percobaan #238: Waktu = 5 ms, Langkah = 178
Percobaan #239: Waktu = 5 ms, Langkah = 194
Percobaan #240: Waktu = 4 ms, Langkah = 171
Percobaan #241: Waktu = 4 ms, Langkah = 180
Percobaan #242: Waktu = 6 ms, Langkah = 200
Percobaan #243: Waktu = 4 ms, Langkah = 195
Percobaan #244: Waktu = 4 ms, Langkah = 177
Percobaan #245: Waktu = 4 ms, Langkah = 171
Percobaan #246: Waktu = 4 ms, Langkah = 172
Percobaan #247: Waktu = 11 ms, Langkah = 205
Percobaan #248: Waktu = 8 ms, Langkah = 184
Percobaan #249: Waktu = 6 ms, Langkah = 185
Percobaan #250: Waktu = 5 ms, Langkah = 186
Percobaan #251: Waktu = 5 ms, Langkah = 144
Percobaan #252: Waktu = 7 ms, Langkah = 179
Percobaan #253: Waktu = 5 ms, Langkah = 183
Percobaan #254: Waktu = 5 ms, Langkah = 195
Percobaan #255: Waktu = 4 ms, Langkah = 165
Percobaan #256: Waktu = 4 ms, Langkah = 175
