--- Hasil Analisis Kinerja Solver ---

Konfigurasi      : 3.txt (30x30, 135 bom)
Solver Digunakan : Hybrid (Greedy + CSP)
Jumlah Percobaan : 1000

--- Ringkasan Statistik ---
Jumlah Keberhasilan: 687 (68.70%)
Jumlah Kegagalan   : 313
Rata-rata Waktu    : 28.11 ms (untuk percobaan yang berhasil)
Rata-rata Langkah  : 401.87 langkah (untuk percobaan yang berhasil)

--- Rincian Percobaan yang Berhasil ---
Percobaan #110: Waktu = 26 ms, Langkah = 433
Percobaan #111: Waktu = 28 ms, Langkah = 419
Percobaan #112: Waktu = 26 ms, Langkah = 412
Percobaan #113: Waktu = 27 ms, Langkah = 439
Percobaan #114: Waktu = 29 ms, Langkah = 432
Percobaan #115: Waktu = 28 ms, Langkah = 428
Percobaan #116: Waktu = 23 ms, Langkah = 372
Percobaan #117: Waktu = 27 ms, Langkah = 430
Percobaan #118: Waktu = 27 ms, Langkah = 408
Percobaan #119: Waktu = 27 ms, Langkah = 410
Percobaan #120: Waktu = 26 ms, Langkah = 433
Percobaan #121: Waktu = 25 ms, Langkah = 379
Percobaan #122: Waktu = 28 ms, Langkah = 409
Percobaan #123: Waktu = 24 ms, Langkah = 392
Percobaan #124: Waktu = 25 ms, Langkah = 413
Percobaan #125: Waktu = 28 ms, Langkah = 425
Percobaan #126: Waktu = 27 ms, Langkah = 397
Percobaan #127: Waktu = 23 ms, Langkah = 376
Percobaan #128: Waktu = 25 ms, Langkah = 397
Percobaan #129: Waktu = 28 ms, Langkah = 442
Percobaan #130: Waktu = 24 ms, Langkah = 327
Percobaan #131: Waktu = 27 ms, Langkah = 353
Percobaan #132: Waktu = 22 ms, Langkah = 385
Percobaan #133: Waktu = 25 ms, Langkah = 406
Percobaan #134: Waktu = 24 ms, Langkah = 390
Percobaan #135: Waktu = 22 ms, Langkah = 392
Percobaan #136: Waktu = 26 ms, Langkah = 388
Percobaan #137: Waktu = 27 ms, Langkah = 388
Percobaan #138: Waktu = 25 ms, Langkah = 370
Percobaan #139: Waktu = 24 ms, Langkah = 386
Percobaan #140: Waktu = 26 ms, Langkah = 371
Percobaan #141: Waktu = 31 ms, Langkah = 431
Percobaan #142: Waktu = 37 ms, Langkah = 446
Percobaan #143: Waktu = 24 ms, Langkah = 392
Percobaan #144: Waktu = 26 ms, Langkah = 408
Percobaan #145: Waktu = 24 ms, Langkah = 396
Percobaan #146: Waktu = 26 ms, Langkah = 387
Percobaan #147: Waktu = 30 ms, Langkah = 397
Percobaan #148: Waktu = 23 ms, Langkah = 358
Percobaan #149: Waktu = 37 ms, Langkah = 408
Percobaan #150: Waktu = 24 ms, Langkah = 405
Percobaan #151: Waktu = 28 ms, Langkah = 383
Percobaan #152: Waktu = 26 ms, Langkah = 403
Percobaan #153: Waktu = 29 ms, Langkah = 422
Percobaan #154: Waktu = 27 ms, Langkah = 395
Percobaan #155: Waktu = 26 ms, Langkah = 396
Percobaan #156: Waktu = 25 ms, Langkah = 349
Percobaan #157: Waktu = 27 ms, Langkah = 401
Percobaan #158: Waktu = 28 ms, Langkah = 437
Percobaan #159: Waktu = 27 ms, Langkah = 391
Percobaan #160: Waktu = 26 ms, Langkah = 402
Percobaan #161: Waktu = 23 ms, Langkah = 375
Percobaan #162: Waktu = 27 ms, Langkah = 373
Percobaan #163: Waktu = 22 ms, Langkah = 372
Percobaan #164: Waktu = 26 ms, Langkah = 404
Percobaan #165: Waktu = 26 ms, Langkah = 417
Percobaan #166: Waktu = 30 ms, Langkah = 415
Percobaan #167: Waktu = 31 ms, Langkah = 464
Percobaan #168: Waktu = 25 ms, Langkah = 392
Percobaan #169: Waktu = 24 ms, Langkah = 372
Percobaan #170: Waktu = 27 ms, Langkah = 356
Percobaan #171: Waktu = 27 ms, Langkah = 400
Percobaan #172: Waktu = 27 ms, Langkah = 395
Percobaan #173: Waktu = 30 ms, Langkah = 427
Percobaan #174: Waktu = 25 ms, Langkah = 367
Percobaan #175: Waktu = 32 ms, Langkah = 417
Percobaan #176: Waktu = 32 ms, Langkah = 418
